,Country Name,Year,Renewables Value,Renewables Share,Non-Renewables Value,Non-Renewables Share,CO2 Emissions,Particulate Matter
186,Japan,2010,116146.16,0.091201972,996784.006,0.908798028,1215058000,14.042
187,Japan,2011,116207.927,0.086543066,958774.537,0.913456944,1265034900,13.736
188,Japan,2012,112872.466,0.084620397,964405.518,0.915379592,1306182500,12.22
189,Japan,2013,119508.389,0.092627215,937478.567,0.906461637,1315568800,13.278
190,Japan,2014,127801.768,0.106517191,920910.264,0.894095422,1264413200,13.25
191,Japan,2015,151668.684,0.124510963,880082.009,0.867919138,1223605100,12.598
192,Japan,2016,155914.216,0.130663579,873660.355,0.869336421,1203888100,12.394
193,Japan,2017,170723.842,0.124828513,860619.104,0.875171487,1188359000,11.748
194,Japan,2018,183435.1887,0.132236521,869435.7378,0.867763479,1143411800,10.74
195,Japan,2019,180144.9995,0.144112547,824786.3752,0.855887453,1106015500,10.714
196,Latvia,2010,3591.35,0.352434443,2475.694,0.647133654,8554094,17.304
197,Latvia,2011,3026.934,0.456015017,2536.934,0.543984983,7810795,15.832
198,Latvia,2012,4026.901,0.586242128,1692.192,0.413757872,7519410,15.074
199,Latvia,2013,3406.183,0.695807538,2393.776,0.304190192,7368437,15.836
200,Latvia,2014,2678.865,0.42880384,2053.234,0.57119616,7171961,16.174
201,Latvia,2015,2664.202,0.389561891,2428.593,0.610434061,7262099,14.08
202,Latvia,2016,3365.527,0.55104067,2561.053,0.44895933,7210325,12.768
203,Latvia,2017,5285.859,0.81019828,1737.985,0.18980172,7214946,12.016
204,Latvia,2018,3368.392077,0.347056033,2834.561262,0.652943965,7859363,13.478
205,Latvia,2019,3072.744984,0.676291174,2874.2201,0.323708826,7648673,12.604
206,Lithuania,2010,1631.254,0.299069374,3715.736,0.700930626,13946613,14.648
207,Lithuania,2011,1650.941,0.352886111,2794.064,0.647113889,14292825,13.492
208,Lithuania,2012,1656.085,0.385794305,3033.239,0.614205695,14349487,12.878
209,Lithuania,2013,2018.798,0.536590791,2431.979,0.463406843,13355973,13.36
210,Lithuania,2014,2141.92,0.567849922,2002.063,0.432147576,13108084,13.642
211,Lithuania,2015,2297.486,0.595184078,2378.83,0.404815922,13319679,12.088
212,Lithuania,2016,2616.324,0.677989731,1435.154,0.322010269,13351177,10.884
213,Lithuania,2017,3031.148,0.782894212,964.952,0.217105788,13571834,10.472
214,Lithuania,2018,2625.235035,0.851879356,689.064965,0.14812064,13691349,11.742
215,Lithuania,2019,2963.517518,0.830623729,801.082484,0.169376274,13923306,10.956
216,Luxembourg,2010,1617.06,0.383980651,2943.793,0.616019349,11202164,12.332
217,Luxembourg,2011,1306.914,0.312110182,2387.053,0.687889818,11102959,12.588
218,Luxembourg,2012,1355.914,0.454304467,2430.972,0.545699288,10867476,11.284
219,Luxembourg,2013,1395.246,0.40224896,1465.123,0.597747774,10325364,10.998
220,Luxembourg,2014,1446.538,0.358912149,1491.069,0.641093499,9828191,10.24
221,Luxembourg,2015,1848.759,0.840951286,888.803,0.15905826,9347466,10.42
222,Luxembourg,2016,1852.729,0.815661761,314.656,0.184338239,9089235,9.72
223,Luxembourg,2017,1918.857,0.863732981,285.676,0.136267019,9261198,9.812
224,Luxembourg,2018,1909.704624,0.849225174,261.48222,0.150774821,9566671,9.688
225,Luxembourg,2019,1617.579315,0.871257479,259.547891,0.128742516,9751728,8.884
226,Malta,2015,101.618,0.082868744,1139.372,0.917131256,1665291,12.958
227,Malta,2016,135.617,0.107391806,670.867,0.892593203,1356353,12.41
228,Malta,2017,171.676,0.063045795,1430.782,0.936954205,1530878,11.796
