Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1097061415,1102020063,1106214534,1110126741,1113310738,1117443485,1116796245
French Polynesia,PYF,"Population, total",SP.POP.TOTL,291787,293541,295450,297606,299717,301920,304032
Qatar,QAT,"Population, total",SP.POP.TOTL,2414573,2595166,2711755,2766732,2807235,2760385,2688235
Romania,ROU,"Population, total",SP.POP.TOTL,19815616,19702267,19588715,19473970,19371648,19265250,19119880
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144096870,144342397,144496739,144477859,144406261,144073139,143449286
Rwanda,RWA,"Population, total",SP.POP.TOTL,11642959,11930899,12230339,12531808,12835028,13146362,13461888
South Asia,SAS,"Population, total",SP.POP.TOTL,1775178483,1796850154,1818868706,1840534093,1861598514,1882531620,1901911604
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,32749848,33416270,34193122,35018133,35827362,35997107,35950396
Sudan,SDN,"Population, total",SP.POP.TOTL,38171178,39377169,40679828,41999059,43232093,44440486,45657202
Senegal,SEN,"Population, total",SP.POP.TOTL,14356181,14751356,15157793,15574909,16000781,16436120,16876720
Singapore,SGP,"Population, total",SP.POP.TOTL,5535002,5607283,5612253,5638676,5703569,5685807,5453566
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,612660,628102,643634,659249,674993,691191,707851
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7314773,7493913,7677565,7861281,8046828,8233970,8420641
El Salvador,SLV,"Population, total",SP.POP.TOTL,6231066,6250510,6266654,6276342,6280217,6292731,6314167
San Marino,SMR,"Population, total",SP.POP.TOTL,33570,33834,34056,34156,34178,34007,33745
Somalia,SOM,"Population, total",SP.POP.TOTL,13763906,14292847,14864221,15411094,15981300,16537016,17065581
Serbia,SRB,"Population, total",SP.POP.TOTL,7095383,7058322,7020858,6982604,6945235,6899126,6834326
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1008605106,1036061038,1063789157,1092306937,1121451150,1151203345,1181063481
South Sudan,SSD,"Population, total",SP.POP.TOTL,11194299,11066105,10658226,10395329,10447666,10606227,10748272
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1008698525,1036155715,1063885000,1092403699,1121548775,1151301807,1181162739
Small states,SST,"Population, total",SP.POP.TOTL,39276796,40032809,40727936,41379093,41965375,42392777,42792053
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,201124,204632,208036,211344,214599,218641,223107
Suriname,SUR,"Population, total",SP.POP.TOTL,575475,581453,587559,593715,600301,607065,612985
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5423801,5430798,5439232,5446771,5454147,5458827,5447247
Slovenia,SVN,"Population, total",SP.POP.TOTL,2063531,2065042,2066388,2073894,2088385,2102419,2108079
Sweden,SWE,"Population, total",SP.POP.TOTL,9799186,9923085,10057698,10175214,10278887,10353442,10415811
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1133936,1142524,1151390,1160428,1169613,1180655,1192271
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,38825,39969,40574,40895,41608,42310,42846
Seychelles,SYC,"Population, total",SP.POP.TOTL,93419,94677,95843,96762,97625,98462,99258
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,19205178,18964252,18983373,19333463,20098251,20772595,21324367
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,36538,38246,39844,41487,43080,44276,45114
Chad,TCD,"Population, total",SP.POP.TOTL,14140274,14592585,15085884,15604210,16126866,16644701,17179740
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2024511016,2039794828,2055414680,2068898629,2080648616,2090523535,2097669023
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,453701064,456167799,458170561,459613334,460994696,462023771,462341222
Togo,TGO,"Population, total",SP.POP.TOTL,7473229,7661354,7852795,8046679,8243094,8442580,8644829
Thailand,THA,"Population, total",SP.POP.TOTL,70294397,70607037,70898202,71127802,71307763,71475664,71601103
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8524063,8725318,8925525,9128132,9337003,9543207,9750064
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5766431,5868561,5968383,6065066,6158420,6250438,6341855
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,605335594,611668087,617875842,623841282,629515571,634680385,639188695
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1205813,1224562,1243235,1261845,1280438,1299995,1320942
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,373867247,380687450,387152617,393806257,400574097,407006855,413124452
Tonga,TON,"Population, total",SP.POP.TOTL,106122,105707,105415,105150,104951,105254,106017
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1775178483,1796850154,1818868706,1840534093,1861598514,1882531620,1901911604
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1008698525,1036155715,1063885000,1092403699,1121548775,1151301807,1181162739
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1460177,1469330,1478607,1504709,1519955,1518147,1525663
Tunisia,TUN,"Population, total",SP.POP.TOTL,11557779,11685667,11811443,11933041,12049314,12161723,12262946
Turkiye,TUR,"Population, total",SP.POP.TOTL,79646178,81019394,82089826,82809304,83481684,84135428,84775404
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10877,10852,10828,10865,10956,11069,11204
Tanzania,TZA,"Population, total",SP.POP.TOTL,52542823,54401802,56267032,58090443,59872579,61704518,63588334
Uganda,UGA,"Population, total",SP.POP.TOTL,37477356,38748299,40127085,41515395,42949080,44404611,45853778
Ukraine,UKR,"Population, total",SP.POP.TOTL,45154036,45004673,44831135,44622518,44386203,44132049,43792855
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2417959696,2436043943,2453799496,2469801107,2483924063,2495285443,2503136362
Uruguay,URY,"Population, total",SP.POP.TOTL,3402818,3413766,3422200,3427042,3428409,3429086,3426260
